Suite,Sample_ID,Pluton,Latitude,Longitude,Data source,Age (Ma),Error 2S,System,Method,Mineral,Data source:
Shos,São João do Sabugi Pltuon,São João do Sabugi Pluton,-6.8132,-37.1678,10,579,7,U-Pb,TIMS,Zircon,"17 Sá, J.M., Galindo, A.C., Legrand, J.M., Souza, L.C., Maia, H.N. (2014). Os granitos ediacaranos no contexto dos terrenos Jaguaribeano e Rio Piranhas–Seridó no oeste do RN, Província Borborema. Estudos Geológicos 24, 3–22."
Shos,São José do Espinharas,São José do Espinharas Pluton Pluton,-6.093,-35.709,9,575,22,U-Pb,TIMS,Zircon,"18 Souza, Z.S., Kalsbeek, F., Deng, X.-D., Frei, R., Kokfelt, T.F., Dantas, E.L., Galindo, A.C. (2016). Generation of continental crust in the northern part of the Borborema Province, northeastern Brazil, from Archaean to Neoproterozoic. Journal of South American Earth Sciences, 68, 68–96."
PHKCalcAlk,,São Rafael Pluton,-5.8549,-36.8572,11,580,9,U-Pb,LA-ICP-MS,Zircon,
CalcAlk,Serra da Garganta,Serra da Garganta Pluton,-6.0396,-36.8965,16,598,5,U-Pb,LA-ICP-MS,Zircon,
EHKCalcAlk,,Serra da Macambira Pluton,-5.963878,-36.366773,12,536.6,3.4,U-Pb,SHRIMP,Zircon,
EHKCalcAlk,AP-508C,Serra da Rajada Pluton,-5.9691,-35.2699,4,557,13,U-Pb,LA-ICP-MS,Zircon,
EHKCalcAlk,Serra de Joao do Vale,Serra de Joao do Vale Pluton,-6.030668,-37.069447,3,580.5,4.1,U-Pb,SHRIMP,Zircon,
PHKCalcAlk,Serra de Joao do Vale,Serra de Joao do Vale Pluton,-6.167751,-37.122627,3,586.5,2.9,U-Pb,SHRIMP,Zircon,
EHKCalcAlk,Caramuru,Serra do Caramuru Pluton,-5.7171,-35.3368,8,540,4,U-Pb,SHRIMP,Zircon,
Shos,Solânea,Solânea Pluton,-6.7592,-35.6559,6,572,8,U-Pb,LA-ICP-MS,Zircon,
Shos,Totoró,Totoró Pluton,-6.1762,-36.5551,2,591,8,U-Pb,SHRIMP,Zircon,
Shos,Totoró,Totoró Pluton,-6.1762,-36.5551,2,595,7,U-Pb,SHRIMP,Zircon,
Shos,Totoró,Totoró Pluton,-6.1762,-36.5551,2,597,12,U-Pb,SHRIMP,Zircon,
ChAlk,Umarizal,Umarizal Pluton,-5.9479,-37.8081,13,593,5,U-Pb,TIMS,Zircon,
ChAlk,Umarizal,Umarizal Pluton,-5.9479,-37.8081,17,601,11,U-Pb,LA-ICP-MS,Zircon,
ChAlk,Umarizal,Umarizal Pluton,-5.9479,-37.8081,17,601,11,U-Pb,LA-ICP-MS,Zircon,
Alk,Serra do Algodao,Serra do Algodao,-7.000732,-36.208746,15,592,11,U-Pb,SHRIMP,Zircon,
