Suite,Sample,Pluton,Author,SiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,Loi+,H2O,Total,Cr,Ni,Co,Sc,V,Cu,Pb,Zn,Cd,Sn,W,Mo,As,Rb,Cs,Ba,Sr,Ga,Ta,Nb,Hf,Zr,Y,Th,U,Be,Ag,Au,Bi,Cd,Hg,Sb,Se,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,ETR
Shos,AC5D,Acari,[14],59.45,16.53,6.41,5.77,0.07,2.62,4.48,3.59,4.44,1.03,0.44,0.95,,100.01,,35,15,12,91,28,,83,,,,,,118,,2030,676,20,,18,,399,15,15,,,,,,,,,,75.09,168.72,,45.68,7.52,1.78,5.96,,2.77,,1.41,,1.02,,309.95
Shos,ED119D,Acari,[14],62.82,15.36,5.37,4.83,0.06,2.87,3.74,4,2.87,0.97,0.68,0.65,,99.39,,63,11,9,79,18,,86,,,,,,174,,1988,769,16,,23,,395,12,9,,,,,,,,,,78.55,149.78,,53.54,8.31,2.02,5.09,,2.43,,1.13,,0.76,0.1,301.71
Shos,ED107A,Acari,[14],47.53,15.63,14.48,13.03,0.14,4.82,8.44,3.4,1.39,2.2,0.46,1.14,,99.63,,52,46,25,281,63,,116,,,,,,33,,887,684,20,,23,,246,29,5,,,,,,,,,,57.58,136.91,,48.85,9.53,2.39,7.74,,4.95,,2.5,,1.89,0.3,272.64
Shos,ED113,Totoró,[14],48.27,15.78,13.08,11.77,0.17,5.23,8.83,3.52,1.45,2.08,0.5,0.74,,99.65,,58,38,31,258,52,,119,,,,,,32,,868,604,21,,24,,271,43,< 5,,,,,,,,,,54.81,130,,54.47,11.76,3.06,9.85,,7.26,,3.58,,2.91,0.4,278.1
Shos,ED108C,Totoró,[14],48.51,16.73,12.94,11.64,0.15,4.01,7.83,3.91,1.33,2.42,0.8,0.9,,99.53,,24,58,20,171,38,,127,,,,,,26,,1371,851,< 5,,24,,291,29,6,,,,,,,,,,64.05,132.75,,57.88,10.43,3.37,7.78,,5.24,,2.44,,1.84,0.25,286.03
Shos,ED109,Totoró,[14],49.23,16.11,12.67,11.4,0.14,5.1,8.75,3.45,1.08,1.87,0.55,0.72,,99.67,,65,39,25,216,45,,110,,,,,,22,,733,698,19,,16,,155,27,< 5,,,,,,,,,,45.35,98.84,,40.85,8.16,2.5,6.69,,4.86,,2.45,,2,0.27,211.97
Shos,ED108A,Totoró,[14],49.39,16.11,12.85,11.56,0.15,5.25,8.8,3.35,1,1.82,0.53,0.43,,99.68,,75,41,25,225,45,,110,,,,,,19,,684,696,< 5,,15,,158,31,< 5,,,,,,,,,,46.41,104.03,,43.76,8.8,2.61,7.23,,5.3,,2.63,,2.12,0.32,223.21
Shos,ED108B,Totoró,[14],51.69,17.03,11.25,10.12,0.11,3.16,6.6,3.95,1.79,2,0.68,1.27,,99.53,,25,53,17,167,46,,115,,,,,,41,,1212,755,< 5,,23,,397,28,7,,,,,,,,,,73.37,148.93,,63.42,11.38,2.95,8.23,,5.11,,2.32,,1.77,0.25,317.73
Shos,ED106C,Totoró,[14],52.12,17.64,12,10.8,0.13,3.02,5.24,3.77,2.67,1.77,0.4,0.9,,99.66,,36,39,8,158,59,,104,,,,,,75,,785,643,18,,23,,189,20,< 5,,,,,,,,,,45.53,91.02,,34.58,6.85,2.08,5.62,,3.65,,1.64,,1.08,0.15,192.2
Shos,ED117,Totoró,[14],57.46,16.64,8.07,7.26,0.08,2.22,5.25,3.85,3.4,1.25,0.48,0.83,,99.53,,14,18,15,135,42,,80,,,,,,85,,1487,566,18,,17,,337,28,11,,,,,,,,,,66.32,131.9,,51.26,9.19,2.19,6.79,,4.74,,2.42,,2.02,0.27,277.1
Shos,ED106E,Totoró,[14],59.95,16.41,7.16,6.44,0.1,1.89,4.27,4.19,3.29,1.08,0.38,0.89,,99.61,,16,18,12,112,36,,82,,,,,,89,,1204,497,22,,20,,255,22,9,,,,,,,,,,63.61,120.17,,41.3,7.53,1.92,5.6,,3.71,,1.92,,1.58,0.21,247.55
Shos,ED110A,Totoró,[14],60.97,15.33,7.11,6.4,0.08,3.06,4.51,3.66,2.75,0.89,0.32,0.99,,99.67,,33,22,11,104,42,,74,,,,,,67,,738,445,16,,12,,161,22,7,,,,,,,,,,46.22,92.59,,33.44,6.27,1.46,4.65,,3.57,,1.88,,1.67,0.21,191.96
Shos,ED115,Totoró,[14],61.45,15.41,6.16,5.54,0.07,2.83,4.26,3.67,3.29,0.77,0.34,1.32,,99.57,,44,17,12,99,24,,69,,,,,,85,,1157,514,17,,10,,236,19,9,,,,,,,,,,63.6,116.85,,40.41,6.99,1.6,4.8,,3.14,,1.64,,1.43,0.22,240.68
Shos,ED111,Totoró,[14],64.56,14.98,4.99,4.49,0.04,1.77,3.08,3.82,4.27,0.88,0.48,0.63,,99.5,,21,11,7,71,36,,89,,,,,,147,,1724,551,19,,14,,368,13,13,,,,,,,,,,102.94,182.71,,59.33,8.79,1.97,5.36,,2.49,,1.19,,0.86,0.12,365.76
Shos,GA-07,Monte das Gameleiras,[10],57.67,13.57,7.58,6.82,0.13,5.39,5.7,3.37,4.41,1,0.35,,,99.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,GA-12A,Monte das Gameleiras,[10],50.22,17.95,10.51,9.46,0.12,3.63,7.56,4.21,3.58,1.3,0.03,,,99.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,GA-15B,Monte das Gameleiras,[10],56.7,13.96,7.81,7.03,0.14,5.86,5.04,3.4,4.67,0.65,0.82,,,99.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,GA-17,Monte das Gameleiras,[10],49.48,16.77,10.74,9.66,0.13,5.05,8.12,3.04,4.23,1.3,0.01,,,98.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,GA-28B,Monte das Gameleiras,[10],59.17,17.7,4.86,4.37,0.15,1.82,5.69,3.91,4.85,0.83,0.71,,,99.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,GA-35,Monte das Gameleiras,[10],50.86,17.1,10.01,9.01,0.26,2.24,6.72,4.75,2.98,3.07,1.49,,,99.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,GA-50,Monte das Gameleiras,[10],50.45,17.1,10.59,9.53,0.26,3.69,8.68,3.98,1.78,2.12,0.67,,,99.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,LG-11B1,Serrinha,[9],59.3,17.1,6.4,5.76,0.12,2.7,4.9,3.5,4.1,1.1,0.37,0.44,,100.03,81,80,37,5.2,108,48,88,89,,,,,,56,,1158,562,,,34,,55,11,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,LG-11B2,Serrinha,[9],59.5,17.1,6.3,5.67,0.13,2.7,4.7,3.4,4.3,1,0.38,0.42,,99.93,83,81,39,5.1,109,50,81,94,,,,,,63,,1151,561,,,30,,46,11,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,LG-14,Serrinha,[9],51.7,18.5,9.6,8.64,0.13,3,6.4,3.4,3.3,2,0.72,0.66,,99.41,54,23,58,,163,63,94,136,,,,,,54,,838,512,,,39,,17,8.6,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,LG-15B,Serrinha,[9],59.4,17.5,6.6,5.94,0.1,2.6,5.3,4.2,2.7,1.2,0.26,0.71,,100.57,47,30,36,,111,40,75,94,,,,,,49,,536,365,,,39,,38,10,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,LG-104B,Serrinha,[9],57.4,18.9,7.6,6.84,0.1,2.2,4.4,4.1,2.8,1.1,0.29,0.41,,99.3,60,30,32,,100,34,78,104,,,,,,11,,1423,412,,,23,,20,5,,,,,,,,,,,22,36,,12,3.6,1,1.4,,0.53,,0.3,,0.23,0.03,77.09
Shos,LG-104C,Serrinha,[9],50.7,17.2,11.7,10.53,0.1,4.2,6,3,3.1,2.4,0.68,0.55,,99.63,27,58,80,,168,77,86,144,,,,,,46,,1077,701,,,38,,33,8.1,,,,,,,,,,,48,83,,36,6.2,1.2,3,,1.1,,0.43,,0.2,0.03,179.16
Shos,ZZ-J9A  ,Serrinha,[9],52.72,18.46,9.2,8.28,0.12,3.53,6.38,3.81,3.42,1.62,0.74,0.52,,100.52,122,33,27,16,180,47,,,,,,,,72,,2100,1046,,,26,,244,24,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,ES-162C ,Serrinha,[9],51.01,15.48,9.5,8.55,0.15,8.17,7.18,3.14,3.32,1.4,0.65,0.41,,100.41,384,186,42,18,154,29,,,,,,,,139,,963,792,,,20,,196,19,,,,,,,,,,,66.1,129,,51.8,7.73,2.13,5.05,,3.46,,1.5,,1.28,0.2,268.25
Shos,ES-162B ,Serrinha,[9],53.08,19.52,8.12,7.31,0.1,3.54,6.66,4.87,2.12,1.62,0.37,0.65,,100.65,139,27,25,13,131,29,,,,,,,,67,,795,793,,,24,,276,21,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,ES-131C ,Serrinha,[9],56.68,19.78,6.32,5.69,0.06,2.41,5.04,4.56,3.59,1.18,0.38,0.18,,100.18,121,15,15,8,78,22,,,,,,,,86,,2794,869,,,22,,436,23,,,,,,,,,,,98.3,184,,87.6,10.1,2.63,5.79,,4.86,,2.46,,1.76,0.29,397.79
Shos,BR-107,Poço Verde,[8],57.97,15.45,7.55,6.79,0.1,2.82,5.22,2.99,3.85,1.47,0.41,1.58,,99.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39,123.69,,57.69,9.39,1.73,6.63,,4.51,0.77,2.44,,2.27,0.32,286.83
Shos,ES-35A2,Poço Verde,[8],58.6,16.27,7.45,6.7,0.11,4.03,5.43,3.36,3.06,1.34,0.35,0.76,,100.76,230,87,26,17,144,47,,,,,,,,135,,1122,523,,,22,,258,29,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,ES-35F,Poço Verde,[8],59.34,16.1,7.36,6.62,0.09,3.67,4.99,3.12,3.72,1.29,0.32,0.56,,100.56,277.7,91.3,25.1,12.5,151.9,7.1,,,,,,,,138.1,,1253.7,524,,,22.4,,307.7,27.5,,,,,,,,,,,64.6,125,,47.1,8,1.69,6.02,,4.73,,2.4,,2.2,0.35,262.09
Shos,RC-7A,Barcelona,[7],46.7,15.6,13.2,11.88,0.2,7.7,9.6,3.3,1.8,1.6,0.22,0.95,,100.87,159,147,,,175,163,32,120,,,,,,27,,115,180,20,,8,,23,15,,,,,,,,,,,19.6,37.8,,12.83,2.37,1,2.44,,1.99,,0.63,,0.55,0.06,79.27
Shos,MA-164B,Casserengue,[22],56.43,16.69,10.98,9.88,0.18,2.03,3.84,4.41,3.37,1.47,0.46,0.24,,100.1,,18.8,18.8,,94.5,36,,,,,,,,45.6,,1423,455,28.6,,42.2,,1039,34.9,4.65,,,,,,,,,,87.9,181,,82.1,13.4,2.94,10.9,,6.81,,3.5,,3.36,0.54,392.45
Shos,MA-197B,Casserengue,[22],58.04,16.17,10.16,9.14,0.17,1.71,3.54,4.12,4.34,1.22,0.37,0.25,,100.09,,13.4,14.9,,58,31.3,,,,,,,,65.9,,1599,319,25.8,,41.4,,944,35.9,4.16,,,,,,,,,,81.1,161,,72.9,12.8,3.18,9.84,,7.39,,3.61,,3.36,0.59,355.77
Shos,MA-198A,Casserengue,[22],53,16.66,11.78,10.6,0.17,3.38,5.37,4.1,3.02,1.79,0.44,0.35,,100.06,,25.3,26.8,,112,28,,,,,,,,60.1,,1191,457,23.9,,31.9,,569,25,2.42,,,,,,,,,,64.2,128,,55.8,9.5,2.33,6.65,,5.23,,2.31,,1.93,0.3,276.25
Shos,MA-186A,Casserengue,[22],56.38,15.72,12.47,11.22,0.25,2.2,3.69,4.22,3.07,1.46,0.42,0.17,,100.05,,19.8,15.4,,79.6,31.1,,,,,,,,39.6,,915,258,23.7,,48.6,,999,32.2,5.96,,,,,,,,,,105,208,,86.4,13.9,1.99,9.5,,6.57,,3.08,,3,0.51,437.95
Shos,MA-164C,Casserengue,[22],55.08,16.49,10.95,9.85,0.17,2.35,4.66,4.24,3.43,1.93,0.66,0.16,,100.12,,15.4,22,,104,46,,,,,,,,39.6,,1817,477,25,,44.5,,598,35.7,2.19,,,,,,,,,,97,198,,91,15,3.13,10.5,,7.53,,3.46,,3.09,0.5,429.21
Shos,MA-198,Casserengue,[22],52.95,16.12,11.64,10.47,0.18,3.27,5.37,4.22,2.98,1.8,0.5,0.58,,99.61,,,,,,,,,,,,,,63.2,,,538.2,,,32,,,29.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MA-197A,Casserengue,[22],58.32,15.48,9.91,8.92,0.18,1.62,3.62,4.27,4.36,1.25,0.44,0.88,,100.33,,,,,,,,,,,,,,66,,,329.8,,,36.2,,,39.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MA-164A,Casserengue,[22],56.01,15.76,10.78,9.7,0.18,2.25,4.74,4.41,3.44,2.01,0.71,0.35,,100.64,,,,,,,,,,,,,,42.8,,,513.4,,,41,,,38.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MA-186,Casserengue,[22],55.97,15.71,12.19,10.97,0.25,2.14,3.75,4.43,3.13,1.46,0.49,0.52,,100.04,,,,,,,,,,,,,,45.5,,,296.2,,,47.3,,,38.9,7.8,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-56C,Japi,[13],51.65,15.5,11.53,10.38,0.16,5.85,7.75,3.1,1.67,1.24,0.18,1.23,0.16,99.86,,115.1,,25.1,178.4,,,,,,,,,62.9,,439.8,327.1,,,10,,154.5,27.7,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-61A,Japi,[13],52.9,15.08,10.59,9.53,0.14,5.14,7.09,3,1.93,1.61,0.33,1.46,0.11,99.27,,70.4,,23.2,162.7,,,,,,,,,43.6,,698.6,506.3,,,19.5,,240.4,31.2,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-61B,Japi,[13],49.6,16.17,12.33,11.1,0.16,5.07,7.94,3.29,1.29,2.11,0.49,0.83,0.07,99.28,,70.5,,26.2,192.5,,,,,,,,,25,,921.7,625.9,,,21.6,,253.1,34.4,,,,,,,,,,,41.62,91.65,10.64,43.78,8.51,2.61,8.01,1.08,5.94,1.17,3.23,0.42,2.52,0.39,221.57
Shos,MH-61C,Japi,[13],50.34,16.87,11.24,10.11,0.12,4.22,6.47,3.8,2.78,1.87,0.56,0.98,0.05,99.25,,37.8,,9.6,143.9,,,,,,,,,60.3,,1507.5,966.6,,,28.2,,333.2,29.4,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-61D,Japi,[13],56.66,17.65,7.94,7.15,0.09,2.18,4.47,4.15,3.43,1.39,0.46,0.7,0.08,99.12,,20.1,,8,96.7,,,,,,,,,67.2,,1782.4,606.8,,,23.2,,496.4,25.8,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-62B,Japi,[13],58.91,15.82,8.35,7.51,0.1,2.48,4.78,3.31,2.87,1.29,0.29,1.2,0.06,99.4,,16.8,,8.6,101.8,,,,,,,,,79.1,,1003.9,483.2,,,16.8,,283.9,28.7,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-64,Japi,[13],50.79,15.61,10.67,9.6,0.15,6.76,7.7,2.87,2.33,1.68,0.4,1.07,0.12,100.03,,3.1,,23.1,103.1,,,,,,,,,144.4,,1371,1008.9,,,6.9,,87.8,13.6,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-81A,Japi,[13],51.11,16.88,7.25,6.52,0.1,8.06,9.93,2.67,1.27,0.68,0.07,2.33,0.11,100.35,,187.9,,21.8,122,,,,,,,,,31.2,,484,878.7,,,4.3,,70.1,15.4,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-83,Japi,[13],50.05,17.71,11.81,10.63,0.16,4.15,7.38,3.78,2.01,1.72,0.42,0.26,0.09,99.45,,30.8,,16.3,197.3,,,,,,,,,44.5,,1489.1,785.9,,,18.4,,346.1,29.7,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-99A,Japi,[13],53.9,16.27,10.51,9.46,0.12,3.67,6.04,3.45,2.67,1.81,0.4,0.58,0.1,99.42,,34.6,,12.7,145.8,,,,,,,,,67.5,,1157.2,690.7,,,23.8,,287,31.1,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,MH-99B,Japi,[13],54.33,16.85,10.19,9.17,0.12,3.63,5.82,3.58,2.77,1.51,0.39,0.6,0.08,99.79,,33.6,,13.1,141.4,,,,,,,,,71.7,,869.6,634.2,,,19.4,,227.5,30.5,,,,,,,,,,,76.35,137.6,14.74,53.11,9.45,2.06,7.21,1.01,5.58,0.98,2.66,0.34,2.15,0.34,313.58
Shos,MH-164,Japi,[13],58.42,16.6,7.68,6.91,0.09,2.5,4.96,3.73,3.21,1.45,0.38,0.56,0.14,99.58,,21.5,,13.3,116.4,,,,,,,,,80.6,,1284.3,560.8,,,28.7,,362.9,37.3,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,CEBP-83,Pitombeira,[24],53.44,13.99,11.39,10.25,0.16,3.66,6.1,3.35,3.3,3.15,1.71,0.31,,100.56,,31.6,23.6,7,181,31.2,4.6,106,0.05,4.2,2.1,1.49,2,84.4,1.04,2078,1048,22.9,2.67,48.67,12.8,574,62.03,6.7,1.24,,,,,,,,,133.9,255.4,33.31,128,21.7,5.23,19.84,2.16,12.23,2.24,5.33,0.69,4.6,0.65,625.28
Shos,TP-17B,Pitombeira,[24],54.69,16.45,10.73,9.66,0.15,2.69,5.34,3.29,3.14,2.74,1.52,0.43,,101.17,,21.1,26.7,7.2,186,27.1,4.5,104,0.03,<0.3,<0.1,0.57,2,240.6,1.12,2046,997,26.5,2.64,35,15.47,730,59.39,19,1.83,,,,,,,,,184.2,345.7,41.33,163.9,27,5.5,20.41,2.51,15.31,2.82,7.08,0.93,5.7,0.95,823.34
Shos,TP-27B,Pitombeira,[24],55.15,15.3,11.16,10.04,0.16,2.27,5.1,2.7,3.35,3,1.55,0.58,,100.32,,17.7,22.9,9.2,186,21.5,3.9,141,<0.01,2.9,<0.1,1.29,2,466.5,4.88,1876,544,24.7,4.82,35.53,13.79,672,70.36,12.7,1.4,,,,,,,,,132.1,258.4,33.7,131.5,25.1,5.14,19.05,2.86,15.93,3.05,7.51,1.21,6.3,1.21,643.06
Shos,TP-28,Pitombeira,[24],60.98,13.98,8.56,7.7,0.13,1.53,3.79,2.86,4.21,2.26,1.03,0.54,,99.87,,9.6,18.6,8,139,22.9,7.3,111,0.1,<0.3,<0.1,0.85,2,361.6,1.17,1790,520,26.8,4.25,25.59,11.44,485,53.19,11.6,1.98,,,,,,,,,129.7,234.5,30.46,117.3,19.9,3.27,13.74,2.03,11.67,2.22,6.3,0.93,5,0.76,577.78
Shos,D19B,Serra da Macambira,[25],56.62,15.99,7.92,7.13,2.63,0.11,4.16,3.89,4.99,1.61,0.9,0.6,,99.42,,14.6,91.2,9,69,32.1,2.6,,,2,381,,,236.4,5.7,2381,1072,19.7,2.8,41.4,6.1,243.1,32.9,12.4,5.7,4,< 0.1,0.6,< 0.1,< 0.1,< 0.01,< 0.5,76,70.4,158.6,18.3,71.5,11.19,2.81,8.78,1.24,6.02,1.09,3,0.45,2.89,0.43,356.7
Shos,D21,Serra da Macambira,[25],57.5,15.83,7.5,6.75,2.44,0.1,3.91,3.93,4.86,1.51,0.84,1,,99.42,,13.8,106.7,9,63,22.9,2.4,,,3,492.7,,,169.3,2.9,2197,1027,20.1,3.1,41.3,7.6,292.4,31.7,13.8,6.1,4,< 0.1, < 0.5,< 0.1,< 0.1,< 0.01,< 0.5,73,52.2,128.2,16.13,63.2,10.53,2.55,8.19,1.19,6.16,1.1,2.96,0.43,2.91,0.42,296.17
Shos,D22,Serra da Macambira,[25],61.42,15.33,5.82,5.24,1.73,0.09,3.12,3.83,5.25,1.12,0.65,1.1,,99.46,,10.4,60.9,7,40,18.5,4.9,,,2,261.3,,,168.3,2.4,2273,1043,19.1,2.9,40.4,8.2,316,33.9,19.4,6.5,4,< 0.1, < 0.5,< 0.1,< 0.1,< 0.01,< 0.5,67,90.4,195.8,21.5,78.9,11.87,2.54,8.82,1.26,6.4,1.2,3.27,0.5,3.28,0.46,426.2
Shos,A24A,Serra do Caramuru,[16],51.27,15.89,11.26,10.13,0.14,3.8,5.62,3.95,2.97,1.83,1.22,1.2,,99.15,,,,15,,,,,,,,,,50.8,,776,532.7,20.4,1.6,26.6,5.2,228.8,29.9,3.7,0.8,,,,,,,,,33.1,67.3,8.5,36.3,7.6,2.3,7.3,1.1,5.9,1.1,3,0.4,2.7,0.4,177
Shos,A5A,Serra do Caramuru,[16],52.77,16.08,9.72,8.75,0.13,3.34,5.57,4.14,3.8,2.06,1.03,0.9,,99.54,,,,15,,,,,,,,,,157.9,,1237,653,18.5,2,33.6,7.3,315,34.8,3.4,0.8,,,,,,,,,52.1,118.3,13.48,55.3,10.49,2.73,8.7,1.35,6.74,1.3,3.53,0.52,3,0.45,277.99
Shos,A21B,Serra do Caramuru,[16],53.03,15.31,10.92,9.83,0.15,3.65,6.29,3.85,2.62,1.95,0.57,1.3,,99.64,,,,17,,,,,,,,,,74.2,,1181,531.7,22.5,3.2,31.3,6.6,276.8,35.9,2.5,0.9,,,,,,,,,41.2,79.5,10.6,44.9,9.1,2.8,8.8,1.3,7.3,1.5,3.8,0.5,3.3,0.5,215.1
Shos,A19A,Serra do Caramuru,[16],56.34,15.25,9.2,8.28,0.13,4.02,5.45,3.79,2.72,1.44,0.49,0.9,,99.73,,,,14,,,,,,,,,,86.1,,697,455.8,19.7,1.6,25.6,4.8,199.3,32.4,16,1.8,,,,,,,,,51.3,97,11.6,44.9,8.6,2.1,8.3,1.2,6.3,1.2,3.4,0.5,3,0.4,239.8
Shos,A2B,Serra do Caramuru,[16],60.16,15.38,7.21,6.49,0.09,1.99,3.94,3.42,4.39,1.6,0.8,0.6,,99.58,,,,11,,,,,,,,,,126.8,,1355,469.6,18.8,1.9,32.6,11.2,470.2,35.3,8,0.9,,,,,,,,,59.7,151.7,15.99,64.7,11.55,2.34,9,1.42,7.05,1.29,3.51,0.51,3.18,0.45,332.39
Shos,A31A,Serra do Caramuru,[16],60.34,15.16,7.06,6.35,0.09,1.89,3.91,3.43,4.37,1.5,0.7,1.1,,99.55,,,,10,,,,,,,,,,128.9,,1492,511.7,19,2.1,33.8,12.4,496.2,38.8,6.9,1.3,,,,,,,,,80.3,152.3,18.8,72,12.8,2.5,10.7,1.5,7.8,1.4,3.9,0.6,3.3,0.5,368.4
Shos,A24B,Serra do Caramuru,[16],60.51,14.94,7.2,6.48,0.09,2,3.77,3.44,4.47,1.55,0.68,0.9,,99.55,,,,10,,,,,,,,,,165,,1493,495.5,19.6,2.7,32.9,12.9,537.4,37.1,10.5,1.3,,,,,,,,,97.9,180.2,21.5,80.7,12.9,2.2,10.7,1.4,7.6,1.3,3.6,0.5,3.2,0.5,424.2
Shos,A18C,Serra do Caramuru,[16],60.54,15.43,7.25,6.52,0.1,2.62,3.82,3.82,4.17,1.2,0.39,0.4,,99.74,,,,8,,,,,,,,,,177.2,,669,418.6,20.2,2,31.8,5.3,195.2,26.8,16.2,3.1,,,,,,,,,36.8,71.2,8.7,33,6.8,1.8,6.6,1,5.3,1,2.8,0.4,2.5,0.4,178.3
Shos,A18A,Serra do Caramuru,[16],61.26,15.28,6.46,5.81,0.08,1.75,3.71,3.56,4.59,1.37,0.58,0.9,,99.54,,,,9,,,,,,,,,,145.3,,1565,529.5,19.2,1.9,33.2,11.8,520.5,39.4,10.9,1.4,,,,,,,,,98.3,187.4,22,83.3,13.4,2.5,10.9,1.4,7.6,1.3,3.7,0.5,3.4,0.5,436.2
Shos,A96,Tapuio,[16],51.03,15.89,11.26,10.13,0.14,3.8,5.62,3.95,2.47,2.97,1.22,1.2,,99.55,,,,13,,,,,,,,,,66.7,,1189,844.7,18.6,2.1,35.7,6.2,267.5,35,5.5,1.6,,,,,,,,,55.4,115.1,15,63.3,11.8,3.1,9.9,1.4,7.1,1.3,3.3,0.5,3,0.4,290.6
Shos,A55,Tapuio,[16],54.15,16.88,10.64,9.57,0.16,1.81,3.52,4.65,4.79,1.4,1.04,0.5,,99.54,,,,10,,,,,,,,,,100.4,,1574,410.4,23.5,3.5,69.6,13.3,608,51.2,4.2,1,,,,,,,,,95.4,188.5,23,90.6,16.3,4,13.9,1.9,10,1.9,4.9,0.7,4.5,0.6,456.2
Shos,A56,Tapuio,[16],56.58,15.54,9.65,8.68,0.14,1.75,3.69,4.07,4.71,1.42,0.98,1,,99.53,,,,11,,,,,,,,,,104.1,,1736,409.1,23.2,3.2,55.9,13,592.6,50.1,3.8,1,,,,,,,,,94.4,189.3,23.3,92.4,16.2,3.7,13.4,1.9,9.8,1.8,5.3,0.8,4.8,0.7,457.8
Shos,A37B,Tapuio,[16],57.81,15.19,8.31,7.48,0.1,2.41,4.4,3.53,4.01,1.85,0.89,1.1,,99.6,,,,11,,,,,,,,,,131.4,,1564,612.4,18.7,1.9,35.6,11.2,473.3,39.6,5.5,1.1,,,,,,,,,89.6,168.5,20.9,79,13.7,3,11,1.5,7.7,1.5,3.9,0.5,3.4,0.5,404.7
Shos,KSR5A,Sao Rafael,[15],65.7,13.1,4.3,3.87,0.07,3.7,3.6,3.9,3.9,0.48,0.21,,,98.96,,,,,,,,,,,,,,87,,2660,800,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,KSR8A,Sao Rafael,[15],58.1,13.5,7.6,6.84,0.14,4.7,5.3,2.1,6.1,0.8,0.39,,,98.73,,,,,,,,,,,,,,100,,2620,370,,,36,,190,61,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,KSR9A,Sao Rafael,[15],62.7,13.4,6.3,5.67,0.11,4.8,4.5,4.1,2.7,0.62,0.19,,,99.42,,,,,,,,,,,,,,89,,1320,660,,,20,,160,18,,,,,,,,,,,,,,,,,,,,,,,,,
Shos,KSR12A,Sao Rafael,[15],59.8,14.8,5.1,4.59,0.07,4.5,5.1,3.6,4.8,0.69,0.68,,,99.14,,,,,,,,,,,,,,99,,2680,750,,,20,,160,25,,,,,,,,,,,,,,,,,,,,,,,,,
PHKCalcAlk,T-145,Tourão,[11],70.82,14.61,2.91,2.62,0.05,0.51,1.55,3.66,5.6,0.38,0.11,,,100.2,,,,,,,,,,,,,,376,,,338,,,33,,349,30,,,,,,,,,,,139,235,29,102,16.3,2.02,12.9,2.08,11.2,2.21,6.32,0.92,6.01,0.84,565.8
PHKCalcAlk,T-85,Tourão,[11],71.37,14.49,2.84,2.56,0.04,0.56,1.5,3.24,5.52,0.39,0.12,,,100.07,,,,,,,,,,,,,,316,,,334,,,31,,348,27,,,,,,,,,,,208.6,353,40.16,133,20.3,2.46,14.11,1.99,12.69,2.35,6.56,0.91,5.9,0.88,802.91
PHKCalcAlk,T-222,Tourão,[11],72.92,13.11,2.47,2.22,0.02,0.34,1.41,2.91,5.24,0.35,0.19,0.27,,99.23,,,,,,,,,,,,,,215,,861,238,19,,14,,267,17,33,,,,,,,,,,173.4,300.6,34.42,116.5,18.6,2.64,13.89,1.82,11.61,2.13,5.73,0.89,4.7,0.76,687.69
